ord_nbr,line_nbr,line_kind,invt_id,descr,qty,unit,unit_price,ext_price,rev_acct
0206260064,1,material,0301322,BeautiBark,7.5,YARD,51.3333,385.0,400000
0206260064,2,labor,0220502,Retail Labor Hours,12.93,HOURS,10.6342,137.5,400002
0206260064,3,equipment,0220503,Retail-Equipment Hours,6.47,HOURS,32.8439,212.5,400003
0206260065,1,material,0302809,Garden Valley Organic Compost,20.0,YARD,59.75,1195.0,400000
0206260065,2,labor,0220502,Retail Labor Hours,8.63,HOURS,50.9849,440.0,400002
0206260065,3,equipment,0220503,Retail-Equipment Hours,4.32,HOURS,157.4074,680.0,400003
0206260066,1,material,0303301,Fiberex,120.0,YARD,44.5417,5345.0,400000
0206260066,2,labor,0220502,Retail Labor Hours,14.66,HOURS,45.0205,660.0,400002
0206260066,3,equipment,0220503,Retail-Equipment Hours,3.53,HOURS,249.2918,880.0,400003
0206260067,1,material,0303301,Fiberex,120.0,YARD,44.5417,5345.0,400000
0206260067,2,labor,0220502,Retail Labor Hours,8.02,HOURS,82.2943,660.0,400002
0206260067,3,equipment,0220503,Retail-Equipment Hours,4.53,HOURS,194.2605,880.0,400003
0206260047,1,material,0301322,BeautiBark,10.0,YARD,25.0,250.0,400000
0206260047,2,labor,0220502,Retail Labor Hours,4.35,HOURS,34.7701,151.25,400002
0206260047,3,equipment,0220503,Retail-Equipment Hours,3.45,HOURS,67.7536,233.75,400003
0206260047,4,discount,0301322,Warranty Work,0.0,YARD,,-635.0,400000
0206260048,1,material,0301020,Premium Hemlock Bark,12.0,YARD,55.0,660.0,400000
0206260048,2,labor,0220502,Retail Labor Hours,8.03,HOURS,18.8356,151.25,400002
0206260048,3,equipment,0220503,Retail-Equipment Hours,2.68,HOURS,87.2201,233.75,400003
0206260048,4,discount,0301020,Senior discount,0.0,YARD,,-45.0,400000
0206260049,1,material,0301020,Premium Hemlock Bark,7.5,YARD,54.7,410.25,400000
0206260049,2,labor,0220502,Retail Labor Hours,5.75,HOURS,21.3478,122.75,400002
0206260049,3,equipment,0220503,Retail-Equipment Hours,2.38,HOURS,80.6723,192.0,400003
0206260050,1,material,0304321,EconoBark,4.0,YARD,56.25,225.0,400000
0206260050,2,labor,0220502,Retail Labor Hours,3.25,HOURS,38.0769,123.75,400002
0206260050,3,equipment,0220503,Retail-Equipment Hours,1.63,HOURS,117.3313,191.25,400003
0206260050,4,discount,0304321,Senior Discount,0.0,YARD,,-25.0,400000
0206260051,1,material,0304321,EconoBark,7.5,YARD,20.6667,155.0,400000
0206260051,2,labor,0220502,Retail Labor Hours,4.07,HOURS,40.5405,165.0,400002
0206260051,3,equipment,0220503,Retail-Equipment Hours,2.04,HOURS,125.0,255.0,400003
0206260052,1,material,0304321,EconoBark,8.0,YARD,42.5,340.0,400000
0206260052,2,labor,0220502,Retail Labor Hours,2.03,HOURS,67.734,137.5,400002
0206260052,3,equipment,0220503,Retail-Equipment Hours,1.02,HOURS,208.3333,212.5,400003
0206260053,1,material,0301322,BeautiBark,4.0,YARD,58.75,235.0,400000
0206260053,2,labor,0220502,Retail Labor Hours,2.12,HOURS,51.8868,110.0,400002
0206260053,3,equipment,0220503,Retail-Equipment Hours,1.06,HOURS,160.3774,170.0,400003
0206260045,1,material,0304321,EconoBark,64.0,YARD,29.9219,1915.0,400000
0206260045,2,labor,0220502,Retail Labor Hours,12.87,HOURS,34.2269,440.5,400002
0206260045,3,equipment,0220503,Retail-Equipment Hours,6.44,HOURS,103.1832,664.5,400003
0206260046,1,material,0301020,Premium Hemlock Bark,38.0,YARD,62.8421,2388.0,400000
0206260046,2,labor,0220502,Retail Labor Hours,12.38,HOURS,21.567,267.0,400002
0206260046,3,equipment,0220503,Retail-Equipment Hours,6.19,HOURS,67.8514,420.0,400003
0206260042,1,material,0301020,Premium Hemlock Bark,18.0,YARD,64.7428,1165.37,400000
0206260042,2,labor,0220502,Retail Labor Hours,12.35,HOURS,11.7109,144.63,400002
0206260042,3,equipment,0220503,Retail-Equipment Hours,4.12,HOURS,50.9709,210.0,400003
0206260043,1,material,0301020,Premium Hemlock Bark,7.5,YARD,50.0,375.0,400000
0206260043,2,labor,0220502,Retail Labor Hours,6.7,HOURS,18.2657,122.38,400002
0206260043,3,equipment,0220503,Retail-Equipment Hours,2.23,HOURS,86.3767,192.62,400003
0206260044,1,material,0301020,Premium Hemlock Bark,7.0,YARD,64.0,448.0,400000
0206260044,2,labor,0220502,Retail Labor Hours,5.95,HOURS,18.6975,111.25,400002
0206260044,3,equipment,0220503,Retail-Equipment Hours,1.98,HOURS,88.7626,175.75,400003
0206260039,1,material,0301020,Premium Hemlock Bark,23.0,YARD,65.7609,1512.5,400000
0206260039,2,labor,0220502,Retail Labor Hours,10.52,HOURS,21.1502,222.5,400002
0206260039,3,equipment,0220503,Retail-Equipment Hours,5.26,HOURS,66.5399,350.0,400003
0206260040,1,material,0205601,3/8 Round Pea Gravel-Retail Dr,2.0,YARD,34.875,69.75,400000
0206260040,2,labor,0220502,Retail Labor Hours,4.27,HOURS,36.3583,155.25,400002
0206260040,3,equipment,0220503,Retail-Equipment Hours,2.14,HOURS,81.7757,175.0,400003
0206260041,1,material,0304321,EconoBark,79.0,YARD,37.057,2927.5,400000
0206260041,2,labor,0220502,Retail Labor Hours,15.7,HOURS,14.172,222.5,400002
0206260041,3,equipment,0220503,Retail-Equipment Hours,7.85,HOURS,44.586,350.0,400003
0206260037,1,material,0301322,BeautiBark,11.0,YARD,44.7045,491.75,400000
0206260037,2,labor,0220502,Retail Labor Hours,5.17,HOURS,25.7737,133.25,400002
0206260037,3,equipment,0220503,Retail-Equipment Hours,2.59,HOURS,81.0811,210.0,400003
0206260038,1,material,0317960,Microblend,2000.0,LBS,2.6,5200.0,400000
0206260038,3,fee,0317960,Freight,0.0,LBS,,1355.0,400000
0206260036,1,material,0303300,Fresh Sawdust,15.0,YARD,40.0,600.0,400000
0206260036,2,labor,0220502,Retail Labor Hours,5.5,HOURS,22.2273,122.25,400002
0206260036,3,equipment,0220503,Retail-Equipment Hours,2.75,HOURS,70.0909,192.75,400003
0206260036,4,discount,0303300,Youth for Christ Gift Cert,0.0,YARD,,-915.0,400000
0206260032,1,material,0301020,Premium Hemlock Bark,23.0,YARD,57.913,1332.0,400000
0206260032,2,labor,0220502,Retail Labor Hours,12.25,HOURS,14.5306,178.0,400002
0206260032,3,equipment,0220503,Retail-Equipment Hours,4.08,HOURS,68.6275,280.0,400003
0206260033,1,material,0301322,BeautiBark,7.5,YARD,50.8,381.0,400000
0206260033,2,labor,0220502,Retail Labor Hours,3.33,HOURS,33.5586,111.75,400002
0206260033,3,equipment,0220503,Retail-Equipment Hours,2.27,HOURS,84.6916,192.25,400003
0206260034,1,material,0301322,BeautiBark,64.0,YARD,28.9695,1854.05,400000
0206260034,2,labor,0220502,Retail Labor Hours,17.8,HOURS,20.0,356.0,400002
0206260034,3,equipment,0220503,Retail-Equipment Hours,8.9,HOURS,62.3596,555.0,400003
0206260034,5,discount,0301322,Repeat Customer Discount,0.0,YARD,,-207.55,400000
0206260035,1,material,0301322,BeautiBark,64.0,YARD,46.5391,2978.5,400000
0206260035,2,labor,0220502,Retail Labor Hours,21.0,HOURS,14.8333,311.5,400002
0206260035,3,equipment,0220503,Retail-Equipment Hours,7.0,HOURS,80.0,560.0,400003
0206260035,4,discount,0301322,Volume Discount,0.0,YARD,,-250.0,400000
0206260022,1,material,0301020,Premium Hemlock Bark,15.0,YARD,74.3667,1115.5,400000
0206260022,2,labor,0220502,Retail Labor Hours,6.0,HOURS,24.0833,144.5,400002
0206260022,3,equipment,0220503,Retail-Equipment Hours,3.0,HOURS,70.0,210.0,400003
0206260024,1,material,0301020,Premium Hemlock Bark,6.0,YARD,56.3333,338.0,400000
0206260024,2,labor,0220502,Retail Labor Hours,2.3,HOURS,48.3696,111.25,400002
0206260024,3,equipment,0220503,Retail-Equipment Hours,1.15,HOURS,152.8261,175.75,400003
0206260025,1,material,0301020,Premium Hemlock Bark,23.0,YARD,59.0435,1358.0,400000
0206260025,2,labor,0220502,Retail Labor Hours,9.27,HOURS,23.9482,222.0,400002
0206260025,3,equipment,0220503,Retail-Equipment Hours,3.09,HOURS,126.2136,390.0,400003
0206260026,1,material,0205603,"3/4"" Round-Retail Drop Ship",8.0,YARD,68.625,549.0,400000
0206260026,2,labor,0220502,Retail Labor Hours,5.68,HOURS,23.4595,133.25,400002
0206260026,3,equipment,0220503,Retail-Equipment Hours,2.84,HOURS,67.8697,192.75,400003
0206260027,1,material,0301020,Premium Hemlock Bark,4.0,YARD,72.1875,288.75,400000
0206260027,2,labor,0220502,Retail Labor Hours,3.83,HOURS,29.047,111.25,400002
0206260027,3,equipment,0220503,Retail-Equipment Hours,1.28,HOURS,136.7188,175.0,400003
0206260028,1,material,0301020,Premium Hemlock Bark,3.0,YARD,96.0,288.0,400000
0206260028,2,labor,0220502,Retail Labor Hours,4.67,HOURS,23.8223,111.25,400002
0206260028,3,equipment,0220503,Retail-Equipment Hours,1.56,HOURS,112.6603,175.75,400003
0206260029,1,material,0304321,EconoBark,32.0,YARD,38.8047,1241.75,400000
0206260029,2,labor,0220502,Retail Labor Hours,13.32,HOURS,10.8296,144.25,400002
0206260029,3,equipment,0220503,Retail-Equipment Hours,4.44,HOURS,54.955,244.0,400003
0206260030,1,material,0301322,BeautiBark,34.0,YARD,41.7353,1419.0,400000
0206260030,2,labor,0220502,Retail Labor Hours,8.43,HOURS,15.8066,133.25,400002
0206260030,3,equipment,0220503,Retail-Equipment Hours,4.22,HOURS,45.6754,192.75,400003
0206260031,1,material,0301020,Premium Hemlock Bark,16.0,YARD,63.4844,1015.75,400000
0206260031,2,labor,0220502,Retail Labor Hours,6.88,HOURS,20.9666,144.25,400002
0206260031,3,equipment,0220503,Retail-Equipment Hours,3.44,HOURS,61.0465,210.0,400003
0206260020,1,material,0301322,BeautiBark,7.5,YARD,50.8,381.0,400000
0206260020,2,labor,0220502,Retail Labor Hours,5.0,HOURS,22.35,111.75,400002
0206260020,3,equipment,0220503,Retail-Equipment Hours,2.5,HOURS,76.9,192.25,400003
0206260021,1,material,0301322,BeautiBark,15.0,YARD,48.6,729.0,400000
0206260021,2,labor,0220502,Retail Labor Hours,10.43,HOURS,12.7756,133.25,400002
0206260021,3,equipment,0220503,Retail-Equipment Hours,3.48,HOURS,55.3879,192.75,400003
0206260018,1,material,0301322,BeautiBark,25.0,YARD,40.3148,1007.87,400000
0206260018,2,labor,0220502,Retail Labor Hours,10.68,HOURS,13.5421,144.63,400002
0206260018,3,equipment,0220503,Retail-Equipment Hours,3.56,HOURS,63.9045,227.5,400003
0206260019,1,material,0301322,BeautiBark,8.0,YARD,46.4375,371.5,400000
0206260019,2,labor,0220502,Retail Labor Hours,8.23,HOURS,16.2211,133.5,400002
0206260019,3,equipment,0220503,Retail-Equipment Hours,2.74,HOURS,76.6423,210.0,400003
0206260010,1,material,0304321,EconoBark,28.0,YARD,37.625,1053.5,400000
0206260010,2,labor,0220502,Retail Labor Hours,11.17,HOURS,15.9355,178.0,400002
0206260010,3,equipment,0220503,Retail-Equipment Hours,3.72,HOURS,79.9731,297.5,400003
0206260013,1,material,0302107,Rexius Premium Turf Start,13.0,YARD,46.3846,603.0,400000
0206260013,2,labor,0220502,Retail Labor Hours,9.72,HOURS,12.5514,122.0,400002
0206260013,3,equipment,0220503,Retail-Equipment Hours,3.24,HOURS,59.2593,192.0,400003
0206260014,1,material,0301020,Premium Hemlock Bark,3.0,YARD,107.75,323.25,400000
0206260014,2,labor,0220502,Retail Labor Hours,5.77,HOURS,19.3674,111.75,400002
0206260014,3,equipment,0220503,Retail-Equipment Hours,2.89,HOURS,60.5536,175.0,400003
0206260015,1,material,0205601,3/8 Round Pea Gravel-Retail Dr,8.0,YARD,67.5938,540.75,400000
0206260015,2,labor,0220502,Retail Labor Hours,3.68,HOURS,39.1984,144.25,400002
0206260015,3,equipment,0220503,Retail-Equipment Hours,3.68,HOURS,57.0652,210.0,400003
0206260016,1,material,0205603,"3/4"" Round-Retail Drop Ship",8.0,YARD,74.875,599.0,400000
0206260016,2,labor,0220502,Retail Labor Hours,3.71,HOURS,35.9838,133.5,400002
0206260016,3,equipment,0220503,Retail-Equipment Hours,2.88,HOURS,66.8403,192.5,400003
0206260017,1,material,0301040,Black Ultrakote,100.0,YARD,70.9,7090.0,400000
0206260017,2,labor,0220502,Retail Labor Hours,60.05,HOURS,14.821,890.0,400002
0206260017,3,equipment,0220503,Retail-Equipment Hours,7.51,HOURS,186.4181,1400.0,400003
0206260004,1,material,0304321,EconoBark,34.0,YARD,35.8088,1217.5,400000
0206260004,2,labor,0220502,Retail Labor Hours,15.25,HOURS,14.5902,222.5,400002
0206260004,3,equipment,0220503,Retail-Equipment Hours,4.42,HOURS,79.1855,350.0,400003
0206260005,1,material,0304321,EconoBark,34.0,YARD,35.8088,1217.5,400000
0206260005,2,labor,0220502,Retail Labor Hours,10.0,HOURS,22.25,222.5,400002
0206260005,3,equipment,0220503,Retail-Equipment Hours,5.0,HOURS,70.0,350.0,400003
0206260006,1,material,0301020,Premium Hemlock Bark,23.0,YARD,58.0704,1335.62,400000
0206260006,2,labor,0220502,Retail Labor Hours,7.35,HOURS,22.7048,166.88,400002
0206260006,3,equipment,0220503,Retail-Equipment Hours,3.68,HOURS,71.3315,262.5,400003
0206260007,1,material,0301020,Premium Hemlock Bark,15.0,YARD,54.7667,821.5,400000
0206260007,2,labor,0220502,Retail Labor Hours,4.43,HOURS,30.1354,133.5,400002
0206260007,3,equipment,0220503,Retail-Equipment Hours,2.22,HOURS,94.5946,210.0,400003
0206260008,1,material,0301020,Premium Hemlock Bark,8.0,YARD,62.625,501.0,400000
0206260008,2,labor,0220502,Retail Labor Hours,5.43,HOURS,22.4678,122.0,400002
0206260008,3,equipment,0220503,Retail-Equipment Hours,2.72,HOURS,70.5882,192.0,400003
0206260009,1,material,0301020,Premium Hemlock Bark,10.0,YARD,61.2,612.0,400000
0206260009,2,labor,0220502,Retail Labor Hours,3.28,HOURS,40.5488,133.0,400002
0206260009,3,equipment,0220503,Retail-Equipment Hours,1.64,HOURS,128.0488,210.0,400003
0206260001,1,material,0301020,Premium Hemlock Bark,23.0,YARD,60.4674,1390.75,400000
0206260001,2,labor,0220502,Retail Labor Hours,8.43,HOURS,17.1115,144.25,400002
0206260001,3,equipment,0220503,Retail-Equipment Hours,2.81,HOURS,85.4093,240.0,400003
0206260002,1,material,0301020,Premium Hemlock Bark,14.0,YARD,56.7943,795.12,400000
0206260002,2,labor,0220502,Retail Labor Hours,4.77,HOURS,25.6562,122.38,400002
0206260002,3,equipment,0220503,Retail-Equipment Hours,2.39,HOURS,80.5439,192.5,400003
0206260002,4,discount,0301020,Senior Discount,0.0,YARD,,-25.0,400000
0206260003,1,material,0301020,Premium Hemlock Bark,3.0,YARD,85.0,255.0,400000
0206260003,2,labor,0220502,Retail Labor Hours,2.17,HOURS,56.2212,122.0,400002
0206260003,3,equipment,0220503,Retail-Equipment Hours,1.09,HOURS,177.0642,193.0,400003
0205260067,1,material,0301020,Premium Hemlock Bark,18.0,YARD,63.6944,1146.5,400000
0205260067,2,labor,0220502,Retail Labor Hours,8.4,HOURS,15.8929,133.5,400002
0205260067,3,equipment,0220503,Retail-Equipment Hours,2.8,HOURS,75.0,210.0,400003
0205260068,1,material,0301020,Premium Hemlock Bark,23.0,YARD,49.8478,1146.5,400000
0205260068,2,labor,0220502,Retail Labor Hours,5.25,HOURS,25.4286,133.5,400002
0205260068,3,equipment,0220503,Retail-Equipment Hours,1.75,HOURS,120.0,210.0,400003
0205260069,1,material,0301020,Premium Hemlock Bark,7.5,YARD,48.9827,367.37,400000
0205260069,2,labor,0220502,Retail Labor Hours,4.68,HOURS,21.3953,100.13,400002
0205260069,3,equipment,0220503,Retail-Equipment Hours,1.56,HOURS,100.9615,157.5,400003
0205260070,1,material,0301020,Premium Hemlock Bark,9.0,YARD,22.2222,200.0,400000
0205260070,2,labor,0220502,Retail Labor Hours,3.05,HOURS,32.7869,100.0,400002
0205260070,3,equipment,0220503,Retail-Equipment Hours,2.33,HOURS,64.3777,150.0,400003
0205260070,4,discount,0301020,VIP Discount,0.0,YARD,,-300.0,400000
0205260071,1,material,0301020,Premium Hemlock Bark,23.0,YARD,59.75,1374.25,400000
0205260071,2,labor,0220502,Retail Labor Hours,6.73,HOURS,23.1426,155.75,400002
0205260071,3,equipment,0220503,Retail-Equipment Hours,3.37,HOURS,72.7003,245.0,400003
0205260071,4,discount,0301020,Repeat Customer Disc,0.0,YARD,,-50.0,400000
0205260072,1,material,0301020,Premium Hemlock Bark,12.0,YARD,64.4058,772.87,400000
0205260072,2,labor,0220502,Retail Labor Hours,4.33,HOURS,33.4018,144.63,400002
0205260072,3,equipment,0220503,Retail-Equipment Hours,2.12,HOURS,107.3113,227.5,400003
0205260073,1,material,0301322,BeautiBark,17.0,YARD,40.1029,681.75,400000
0205260073,2,labor,0220502,Retail Labor Hours,9.35,HOURS,14.2513,133.25,400002
0205260073,3,equipment,0220503,Retail-Equipment Hours,3.12,HOURS,67.3077,210.0,400003
0205260074,1,material,0301004,DecoBark Nuggets,12.0,YARD,52.9267,635.12,400000
0205260074,2,labor,0220502,Retail Labor Hours,6.13,HOURS,19.9641,122.38,400002
0205260074,3,equipment,0220503,Retail-Equipment Hours,3.13,HOURS,61.5016,192.5,400003
0205260074,4,discount,0301004,Senior Discount,0.0,YARD,,-55.0,400000
0205260075,1,material,0301004,DecoBark Nuggets,15.0,YARD,60.1,901.5,400000
0205260075,2,labor,0220502,Retail Labor Hours,7.44,HOURS,17.9435,133.5,400002
0205260075,3,equipment,0220503,Retail-Equipment Hours,2.44,HOURS,86.0656,210.0,400003
0205260076,1,material,0205606,3/4 Open-Retail Drop Ship,6.0,YARD,66.9167,401.5,400000
0205260076,2,labor,0220502,Retail Labor Hours,4.98,HOURS,26.8072,133.5,400002
0205260076,3,equipment,0220503,Retail-Equipment Hours,2.49,HOURS,84.3373,210.0,400003
0205260065,1,material,0301322,BeautiBark,15.0,YARD,47.4333,711.5,400000
0205260065,2,labor,0220502,Retail Labor Hours,6.0,HOURS,22.25,133.5,400002
0205260065,3,equipment,0220503,Retail-Equipment Hours,3.0,HOURS,70.0,210.0,400003
0205260066,1,material,0302907,Rexius Garden Compost,23.0,YARD,55.5596,1277.87,400000
0205260066,2,labor,0220502,Retail Labor Hours,8.82,HOURS,16.398,144.63,400002
0205260066,3,equipment,0220503,Retail-Equipment Hours,4.41,HOURS,51.5873,227.5,400003
0205260066,4,discount,0302907,VIP Discount,0.0,YARD,,-100.0,400000
0205260062,1,material,0301040,Black Ultrakote,17.0,YARD,93.85,1595.45,400000
0205260062,2,labor,0220502,Retail Labor Hours,6.59,HOURS,23.6343,155.75,400002
0205260062,3,equipment,0220503,Retail-Equipment Hours,2.47,HOURS,99.1903,245.0,400003
0205260063,1,material,0301322,BeautiBark,32.0,YARD,41.0938,1315.0,400000
0205260063,2,labor,0220502,Retail Labor Hours,5.32,HOURS,31.391,167.0,400002
0205260063,3,equipment,0220503,Retail-Equipment Hours,2.63,HOURS,100.0,263.0,400003
0205260064,1,material,0301020,Premium Hemlock Bark,4.0,YARD,77.1875,308.75,400000
0205260064,2,labor,0220502,Retail Labor Hours,5.38,HOURS,20.6784,111.25,400002
0205260064,3,equipment,0220503,Retail-Equipment Hours,2.69,HOURS,65.0558,175.0,400003
0205260064,4,discount,0301020,VIP discount,0.0,YARD,,-45.0,400000
0205260060,1,material,0301020,Premium Hemlock Bark,7.0,YARD,60.4643,423.25,400000
0205260060,2,labor,0220502,Retail Labor Hours,4.75,HOURS,23.5263,111.75,400002
0205260060,3,equipment,0220503,Retail-Equipment Hours,2.38,HOURS,73.5294,175.0,400003
0205260060,4,discount,0301020,Repeat Customer Disc,0.0,YARD,,-35.0,400000
0205260059,1,material,0301020,Premium Hemlock Bark,15.0,YARD,57.8667,868.0,400000
0205260059,2,labor,0220502,Retail Labor Hours,6.48,HOURS,22.3194,144.63,400002
0205260059,3,equipment,0220503,Retail-Equipment Hours,2.16,HOURS,105.2639,227.37,400003
0205260059,4,discount,0301020,Senior Discount,0.0,YARD,,-45.0,400000
0205260048,1,material,0301020,Premium Hemlock Bark,10.0,YARD,72.012,720.12,400000
0205260048,2,labor,0220502,Retail Labor Hours,6.55,HOURS,18.684,122.38,400002
0205260048,3,equipment,0220503,Retail-Equipment Hours,2.18,HOURS,88.3028,192.5,400003
0205260049,1,material,0304321,EconoBark,3.0,YARD,96.25,288.75,400000
0205260049,2,labor,0220502,Retail Labor Hours,4.57,HOURS,24.3435,111.25,400002
0205260049,3,equipment,0220503,Retail-Equipment Hours,1.52,HOURS,115.1316,175.0,400003
0205260050,1,material,0304321,EconoBark,3.0,YARD,100.5,301.5,400000
0205260050,2,labor,0220502,Retail Labor Hours,1.53,HOURS,87.2549,133.5,400002
0205260050,3,equipment,0220503,Retail-Equipment Hours,0.77,HOURS,272.7273,210.0,400003
0205260051,1,material,0304321,EconoBark,6.0,YARD,43.3533,260.12,400000
0205260051,2,labor,0220502,Retail Labor Hours,2.75,HOURS,44.5018,122.38,400002
0205260051,3,equipment,0220503,Retail-Equipment Hours,1.38,HOURS,139.4928,192.5,400003
